Test_Case,Producer_Rate,Environment,Message_Size,Percentile,Latency
TC01,100,STANDARD,100,94.98374361356247,4.273
TC01,100,STANDARD,100,95.01028465264415,4.275
TC01,100,STANDARD,100,95.04014332161104,4.278
TC01,100,STANDARD,100,95.07995488023356,4.282
TC01,100,STANDARD,100,95.09654302965961,4.283
TC01,100,STANDARD,100,95.12971932851171,4.287
TC01,100,STANDARD,100,95.1595779974786,4.291
TC01,100,STANDARD,100,95.19938955610112,4.294
TC01,100,STANDARD,100,95.22261296529759,4.296
TC01,100,STANDARD,100,95.2557892641497,4.3
TC01,100,STANDARD,100,95.28233030323138,4.302
TC01,100,STANDARD,100,95.31882423196868,4.306
TC01,100,STANDARD,100,95.36527105036163,4.31
TC01,100,STANDARD,100,95.37522394001725,4.312
TC01,100,STANDARD,100,95.41171786875456,4.317
TC01,100,STANDARD,100,95.44157653772145,4.319
TC01,100,STANDARD,100,95.47807046645876,4.322
TC01,100,STANDARD,100,95.50461150554044,4.324
TC01,100,STANDARD,100,95.53447017450733,4.329
TC01,100,STANDARD,100,95.56432884347423,4.333
TC01,100,STANDARD,100,95.59750514232633,4.338
TC01,100,STANDARD,100,95.63068144117842,4.342
TC01,100,STANDARD,100,95.6605401101453,4.345
TC01,100,STANDARD,100,95.69371640899742,4.35
TC01,100,STANDARD,100,95.7202574480791,4.353
TC01,100,STANDARD,100,95.7534337469312,4.357
TC01,100,STANDARD,100,95.78661004578329,4.361
TC01,100,STANDARD,100,95.81315108486497,4.366
TC01,100,STANDARD,100,95.84964501360228,4.371
TC01,100,STANDARD,100,95.87950368256918,4.374
TC01,100,STANDARD,100,95.90936235153606,4.38
TC01,100,STANDARD,100,95.94585628027338,4.385
TC01,100,STANDARD,100,95.97571494924026,4.388
TC01,100,STANDARD,100,96.01220887797757,4.39
TC01,100,STANDARD,100,96.03211465728883,4.393
TC01,100,STANDARD,100,96.06860858602614,4.398
TC01,100,STANDARD,100,96.09514962510782,4.401
TC01,100,STANDARD,100,96.12500829407472,4.406
TC01,100,STANDARD,100,96.15818459292682,4.41
TC01,100,STANDARD,100,96.19467852166413,4.415
TC01,100,STANDARD,100,96.22121956074581,4.418
TC01,100,STANDARD,100,96.2543958595979,4.422
TC01,100,STANDARD,100,96.2908897883352,4.424
TC01,100,STANDARD,100,96.31411319753168,4.426
TC01,100,STANDARD,100,96.34397186649858,4.43
TC01,100,STANDARD,100,96.37714816535068,4.437
TC01,100,STANDARD,100,96.40700683431757,4.442
TC01,100,STANDARD,100,96.45013602282529,4.449
TC01,100,STANDARD,100,96.47999469179219,4.452
TC01,100,STANDARD,100,96.51317099064428,4.456
TC01,100,STANDARD,100,96.53639439984076,4.459
TC01,100,STANDARD,100,96.56957069869286,4.464
TC01,100,STANDARD,100,96.59611173777454,4.469
TC01,100,STANDARD,100,96.62928803662663,4.474
TC01,100,STANDARD,100,96.65914670559353,4.48
TC01,100,STANDARD,100,96.68900537456041,4.483
TC01,100,STANDARD,100,96.7188640435273,4.489
TC01,100,STANDARD,100,96.75867560214982,4.493
TC01,100,STANDARD,100,96.78853427111672,4.497
TC01,100,STANDARD,100,96.8150753101984,4.503
TC01,100,STANDARD,100,96.84493397916529,4.508
TC01,100,STANDARD,100,96.87811027801739,4.516
